Photo,CsPbI,FAPbI,MAPbI,"Quality (3=low, 0=high)",Quality
20190606173727,0.75,0,0.25,2,0.333333333333333
20190606173727,0,1,0,3,1
20190606173727,0.5,0,0.5,0,-1
20190606173727,1,0,0,3,1
20190606173727,0.5,0.5,0,1,-0.333333333333333
20190606173727,0,1,0,2,0.333333333333333
20190606173727,0.5,0,0.5,0,-1
20190606173727,1,0,0,2,0.333333333333333
20190606173727,0,0.75,0.25,1,-0.333333333333333
20190606173727,0,0.75,0.25,1,-0.333333333333333
20190606173727,0.25,0.75,0,2,0.333333333333333
20190606173727,0.75,0.25,0,1,-0.333333333333333
20190606173727,0,0.5,0.5,0,-1
20190606173727,0,0.5,0.5,0,-1
20190606173727,0.25,0.5,0.25,1,-0.333333333333333
20190606173727,0.75,0,0.25,1,-0.333333333333333
20190606173727,0,0.25,0.75,1,-0.333333333333333
20190606173727,0,0.25,0.75,0,-1
20190606173727,0.25,0.25,0.5,2,0.333333333333333
20190606173727,0.5,0.5,0,2,0.333333333333333
20190606173727,0.25,0.5,0.25,0,-1
20190606173727,0,0,1,0,-1
20190606173727,0.25,0,0.75,2,0.333333333333333
20190606173727,0.5,0.25,0.25,1,-0.333333333333333
20190606173727,0.25,0.25,0.5,0,-1
20190606173727,0,0,1,0,-1
20190606173727,0.75,0.25,0,2,0.333333333333333
20190606173727,0.5,0.25,0.25,2,0.333333333333333
20190614213131,0.98,0,0.02,2,0.333333333333333
20190614213131,0.98,0.01,0.01,3,1
20190614213131,0.99,0,0.01,3,1
20190614213131,0.99,0.01,0,2,0.333333333333333
20190614213131,0.89,0.11,0,1,-0.333333333333333
20190614213131,0.95,0,0.05,3,1
20190614213131,0.98,0,0.02,3,1
20190614213131,0.98,0.02,0,2,0.333333333333333
20190614213131,0.7,0,0.3,0,-1
20190614213131,0.72,0,0.28,3,1
20190614213131,0.74,0.25,0.01,3,1
20190614213131,0.82,0.18,0,3,1
20190614213131,0.52,0,0.48,0,-1
20190614213131,0.55,0.44,0.01,0,-1
20190614213131,0.6,0.39,0.01,1,-0.333333333333333
20190614213131,0.68,0.32,0,1,-0.333333333333333
20190614213131,0.29,0.71,0,1,-0.333333333333333
20190614213131,0.36,0.01,0.63,0,-1
20190614213131,0.41,0.58,0.01,2,0.333333333333333
20190614213131,0.46,0.53,0.01,1,-0.333333333333333
20190614213131,0.01,0.96,0.03,1,-0.333333333333333
20190614213131,0.02,0.98,0,2,0.333333333333333
20190614213131,0.08,0.92,0,2,0.333333333333333
20190614213131,0.21,0.78,0.01,2,0.333333333333333
20190614213131,0,0.6,0.4,0,-1
20190614213131,0,0.98,0.02,0,-1
20190614213131,0,0.99,0.01,1,-0.333333333333333
20190614213131,0.01,0.01,0.98,1,-0.333333333333333
