Photo,CsPbI,FAPbI,MAPbI,"Quality evenness (3=very uneven, 0=very even)","Quality color (3=very yellow, 0=very dark)",Uniformity,Yellowness
20190606173727,0.75,0,0.25,2,2,2,2
20190606173727,0,1,0,3,3,3,3
20190606173727,0.5,0,0.5,0,0,0,0
20190606173727,1,0,0,2,3,2,3
20190606173727,0.5,0.5,0,1,1,1,1
20190606173727,0,1,0,2,1,2,1
20190606173727,0.5,0,0.5,0,0,0,0
20190606173727,1,0,0,1,3,1,3
20190606173727,0,0.75,0.25,1,1,1,1
20190606173727,0,0.75,0.25,1,0,1,0
20190606173727,0.25,0.75,0,2,2,2,2
20190606173727,0.75,0.25,0,1,1,1,1
20190606173727,0,0.5,0.5,0,0,0,0
20190606173727,0,0.5,0.5,0,0,0,0
20190606173727,0.25,0.5,0.25,1,1,1,1
20190606173727,0.75,0,0.25,1,1,1,1
20190606173727,0,0.25,0.75,1,0,1,0
20190606173727,0,0.25,0.75,0,0,0,0
20190606173727,0.25,0.25,0.5,2,1,2,1
20190606173727,0.5,0.5,0,2,2,2,2
20190606173727,0.25,0.5,0.25,0,0,0,0
20190606173727,0,0,1,0,0,0,0
20190606173727,0.25,0,0.75,1,2,1,2
20190606173727,0.5,0.25,0.25,1,0,1,0
20190606173727,0.25,0.25,0.5,0,0,0,0
20190606173727,0,0,1,0,0,0,0
20190606173727,0.75,0.25,0,2,2,2,2
20190606173727,0.5,0.25,0.25,2,1,2,1
